# Interpolated data from file: /Users/coreywalsh/remote/racecar/bags/5_5_18_exported/random_driving.bag.csv
# Old header: # Exported rosbag data from bag: ./5_5_18/random_driving.bag
# # Start rostime: 1525576924.58950
# # End rostime: 1525577116.72248
# # Message count: 61419 filtered, 67692 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525576924.7526000,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409553,0.8689168,0.5412317,0.0000256,0.0000116,0.0000808,0.0016438,0.0004164,0.0048365,0.0000160,0.0000232,0.0000808
1525576924.7609334,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409551,0.8689170,0.5412324,0.0000393,0.0000151,0.0001211,0.0025679,0.0003963,0.0071576,0.0000259,0.0000332,0.0001211
1525576924.7692668,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409548,0.8689174,0.5412337,0.0000684,0.0000182,0.0002001,0.0037038,-0.0001577,0.0092693,0.0000493,0.0000509,0.0002001
1525576924.7776003,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409543,0.8689179,0.5412357,0.0001011,0.0000125,0.0002756,0.0041548,-0.0012519,0.0087009,0.0000802,0.0000628,0.0002756
1525576924.7859337,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409535,0.8689184,0.5412383,0.0001377,-0.0000026,0.0003451,0.0046002,-0.0022439,0.0077677,0.0001194,0.0000687,0.0003451
1525576924.7942672,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409523,0.8689190,0.5412415,0.0001777,-0.0000249,0.0004050,0.0049226,-0.0028934,0.0063791,0.0001652,0.0000702,0.0004050
1525576924.8026006,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409507,0.8689196,0.5412451,0.0002197,-0.0000509,0.0004514,0.0050145,-0.0030180,0.0044335,0.0002145,0.0000696,0.0004514
1525576924.8109341,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409487,0.8689202,0.5412490,0.0002613,-0.0000752,0.0004789,0.0047531,-0.0024986,0.0018931,0.0002627,0.0000702,0.0004789
1525576924.8192675,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409464,0.8689208,0.5412530,0.0002989,-0.0000925,0.0004830,0.0040574,-0.0013381,-0.0011944,0.0003039,0.0000747,0.0004830
1525576924.8276010,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409437,0.8689214,0.5412570,0.0003289,-0.0000975,0.0004590,0.0029007,0.0003176,-0.0046715,0.0003322,0.0000859,0.0004590
1525576924.8359344,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409408,0.8689222,0.5412607,0.0003473,-0.0000872,0.0004051,0.0012930,0.0022157,-0.0083937,0.0003426,0.0001042,0.0004051
1525576924.8442678,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409380,0.8689232,0.5412638,0.0003505,-0.0000606,0.0003191,-0.0006855,0.0041126,-0.0122456,0.0003316,0.0001286,0.0003191
1525576924.8526013,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409353,0.8689244,0.5412660,0.0003359,-0.0000187,0.0002010,-0.0029312,0.0057433,-0.0158989,0.0002975,0.0001570,0.0002010
1525576924.8609347,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409330,0.8689258,0.5412671,0.0003016,0.0000351,0.0000541,-0.0052947,0.0068349,-0.0191099,0.0002404,0.0001855,0.0000541
1525576924.8692682,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409313,0.8689274,0.5412669,0.0002476,0.0000953,-0.0001175,-0.0075565,0.0072002,-0.0216322,0.0001631,0.0002092,-0.0001175
1525576924.8776016,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409303,0.8689293,0.5412652,0.0001757,0.0001551,-0.0003064,-0.0095049,0.0067411,-0.0231177,0.0000706,0.0002235,-0.0003064
1525576924.8859351,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409301,0.8689312,0.5412618,0.0000892,0.0002076,-0.0005028,-0.0109774,0.0054669,-0.0233698,-0.0000305,0.0002239,-0.0005028
1525576924.8942685,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409308,0.8689330,0.5412568,-0.0000073,0.0002462,-0.0006959,-0.0118066,0.0035279,-0.0222904,-0.0001331,0.0002073,-0.0006959
1525576924.9026020,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409323,0.8689346,0.5412502,-0.0001076,0.0002664,-0.0008743,-0.0118360,0.0011299,-0.0197303,-0.0002295,0.0001729,-0.0008743
1525576924.9109354,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409346,0.8689359,0.5412422,-0.0002045,0.0002651,-0.0010247,-0.0109977,-0.0014905,-0.0156769,-0.0003119,0.0001218,-0.0010247
1525576924.9192688,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409375,0.8689367,0.5412331,-0.0002909,0.0002416,-0.0011356,-0.0093463,-0.0040064,-0.0104674,-0.0003738,0.0000572,-0.0011356
1525576924.9276023,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409409,0.8689368,0.5412233,-0.0003603,0.0001983,-0.0011992,-0.0070325,-0.0061043,-0.0043870,-0.0004110,-0.0000157,-0.0011992
1525576924.9359357,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409444,0.8689364,0.5412131,-0.0004081,0.0001398,-0.0012087,-0.0042955,-0.0075622,0.0021991,-0.0004218,-0.0000904,-0.0012087
1525576924.9442692,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409479,0.8689353,0.5412031,-0.0004319,0.0000723,-0.0011625,-0.0014837,-0.0082362,0.0086906,-0.0004074,-0.0001606,-0.0011625
1525576924.9526026,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409512,0.8689337,0.5411938,-0.0004328,0.0000026,-0.0010638,0.0010940,-0.0080937,0.0146532,-0.0003723,-0.0002208,-0.0010638
1525576924.9609361,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409541,0.8689317,0.5411854,-0.0004137,-0.0000626,-0.0009183,0.0031776,-0.0072105,0.0196948,-0.0003223,-0.0002668,-0.0009183
1525576924.9692695,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409565,0.8689293,0.5411785,-0.0003799,-0.0001176,-0.0007356,0.0045459,-0.0057292,0.0233925,-0.0002650,-0.0002965,-0.0007356
1525576924.9776030,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409585,0.8689267,0.5411732,-0.0003379,-0.0001581,-0.0005284,0.0051580,-0.0038944,0.0255422,-0.0002082,-0.0003096,-0.0005284
1525576924.9859364,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409600,0.8689241,0.5411696,-0.0002939,-0.0001825,-0.0003099,0.0051138,-0.0020032,0.0262010,-0.0001579,-0.0003078,-0.0003099
1525576924.9942698,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409611,0.8689216,0.5411680,-0.0002527,-0.0001915,-0.0000918,0.0046199,-0.0002358,0.0253505,-0.0001179,-0.0002943,-0.0000918
1525576925.0026033,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409620,0.8689192,0.5411681,-0.0002169,-0.0001865,0.0001126,0.0039213,0.0013075,0.0230399,-0.0000898,-0.0002715,0.0001126
1525576925.0109367,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409626,0.8689171,0.5411699,-0.0001873,-0.0001697,0.0002922,0.0032413,0.0025479,0.0195862,-0.0000731,-0.0002420,0.0002922
1525576925.0192702,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409632,0.8689152,0.5411730,-0.0001629,-0.0001440,0.0004390,0.0027781,0.0034980,0.0153442,-0.0000654,-0.0002073,0.0004390
1525576925.0276036,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409637,0.8689136,0.5411772,-0.0001410,-0.0001114,0.0005480,0.0026332,0.0042072,0.0107668,-0.0000635,-0.0001681,0.0005480
1525576925.0359371,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409643,0.8689124,0.5411821,-0.0001190,-0.0000739,0.0006185,0.0027899,0.0047499,0.0064125,-0.0000639,-0.0001246,0.0006185
1525576925.0442705,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409648,0.8689115,0.5411875,-0.0000945,-0.0000323,0.0006549,0.0031550,0.0052116,0.0028206,-0.0000644,-0.0000763,0.0006549
1525576925.0526040,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409653,0.8689111,0.5411930,-0.0000664,0.0000130,0.0006655,0.0036079,0.0055748,0.0004002,-0.0000636,-0.0000231,0.0006655
1525576925.0609374,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409658,0.8689111,0.5411986,-0.0000344,0.0000607,0.0006615,0.0039873,0.0057735,-0.0005617,-0.0000607,0.0000343,0.0006615
1525576925.0692708,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409663,0.8689117,0.5412041,0.0000001,0.0001092,0.0006561,0.0041472,0.0057620,0.0000332,-0.0000562,0.0000936,0.0006561
1525576925.0776043,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409668,0.8689127,0.5412095,0.0000347,0.0001567,0.0006621,0.0039843,0.0054812,0.0019889,-0.0000510,0.0001522,0.0006621
1525576925.0859377,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409672,0.8689142,0.5412151,0.0000665,0.0002006,0.0006893,0.0034642,0.0048834,0.0047959,-0.0000464,0.0002061,0.0006893
1525576925.0942712,0.0000000,0.5370000,0.0000000,7.9000000,-3.7409676,0.8689161,0.5412210,0.0000925,0.0002381,0.0007420,0.0026188,0.0039515,0.0076968,-0.0000434,0.0002517,0.0007420
