# Interpolated data from file: /Users/coreywalsh/remote/racecar/bags/5_5_18_exported/longitudinal_force_data_2.bag.csv
# Old header: # Exported rosbag data from bag: ./5_5_18/longitudinal_force_data_2.bag
# # Start rostime: 1525545726.32838
# # End rostime: 1525545978.12993
# # Message count: 80517 filtered, 90138 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1525545799.0124199,9814.7861000,0.5087698,13360.7706605,7.9843358,0.1081152,4.4698143,-1.5110991,0.4050519,-0.0305549,-0.1840234,23.5178916,-1.6792171,-10.4597707,-0.0063344,-0.4061533,-0.1840234
1525545799.0207534,9814.7861000,0.5361569,13340.2788249,7.9084401,0.1080624,4.4664297,-1.5126326,0.6010343,-0.0445484,-0.2711881,34.5288202,-2.3763334,-15.1359124,-0.0095344,-0.6026076,-0.2711881
1525545799.0290868,9814.7861000,0.5370000,13309.3092889,7.9000000,0.1079563,4.4597708,-1.5156189,0.9805322,-0.0701605,-0.4362886,43.7569310,-2.7435528,-18.4926482,-0.0159780,-0.9829093,-0.4362886
1525545799.0374203,9814.7861000,0.5370000,13266.5984781,7.9000000,0.1077961,4.4500478,-1.5199041,1.3303165,-0.0902743,-0.5793989,39.7076268,-2.0185580,-15.4978303,-0.0224839,-1.3331864,-0.5793989
1525545799.0457537,9814.7861000,0.5370000,13219.8390192,7.9421109,0.1075815,4.4375510,-1.5252756,1.6423260,-0.1038031,-0.6945858,34.8791626,-1.2114767,-11.9347863,-0.0289615,-1.6453483,-0.6945858
1525545799.0540872,9814.7861000,0.5370000,13183.1363592,8.0000000,0.1073134,4.4226254,-1.5314806,1.9116359,-0.1104656,-0.7783120,29.6520068,-0.4132559,-8.0971840,-0.0352421,-1.9145005,-0.7783120
1525545799.0624206,9814.7861000,0.5370000,13169.4384607,8.0000000,0.1069942,4.4056427,-1.5382474,2.1365261,-0.1106907,-0.8295388,24.3917401,0.3026189,-4.2737779,-0.0411028,-2.1389967,-0.8295388
1525545799.0707541,9814.7861000,0.5370000,13165.5732611,8.0000000,0.1066284,4.3869754,-1.5453062,2.3181649,-0.1054219,-0.8495417,19.4086288,0.8883528,-0.7181504,-0.0463038,-2.3200987,-0.8495417
1525545799.0790875,9814.7861000,0.5370000,13162.7750567,8.0000000,0.1062224,4.3669744,-1.5524065,2.4600033,-0.0958849,-0.8415080,14.9312829,1.3226818,2.3739474,-0.0506321,-2.4613505,-0.8415080
1525545799.0874209,9814.7861000,0.5370000,13160.2221445,8.0000000,0.1057845,4.3459529,-1.5593313,2.5670196,-0.0833772,-0.8099759,11.0968093,1.6063825,4.8765657,-0.0539415,-2.5678068,-0.8099759
