# Interpolated data from file: raw_data/all_reverse_1.bag.csv
# Old header: # Exported rosbag data from bag: 4_20_18/all_reverse_1.bag
# # Start rostime: 1524256115.89923
# # End rostime: 1524256439.57586
# # Message count: 103338 filtered, 112311 total
# 
# # time,command_rpm,command_servo,sensed_rpm,sensed_voltage,mocap_x,mocap_y,mocap_theta
# 
# time,command_rpm,command_servo,sensed_rpm,sensed_voltage,x,y,theta,dx,dy,dtheta,ddx,ddy,ddtheta,world_dx,world_dy,world_dtheta
1524256237.9657800,-17250.0000000,0.7175353,-14989.5245286,7.3000000,0.7099376,4.4996769,-1.2742966,-0.2908475,0.3569908,-0.2055405,-16.8095524,20.7959294,-12.3203651,-0.4263917,-0.1738528,-0.2055405
1524256237.9741135,-17250.0000000,0.7755612,-14992.0000000,7.3000000,0.7063844,4.4982282,-1.2760094,-0.4309271,0.5302902,-0.3082103,-24.6035370,30.5996272,-18.4699864,-0.6326154,-0.2582703,-0.3082103
1524256237.9824469,-17250.0000000,0.7895000,-15025.0034587,7.3000000,0.6993941,4.4953724,-1.2794334,-0.7009065,0.8669846,-0.5133737,-30.9417670,38.9866709,-24.5972913,-1.0317849,-0.4223173,-0.5133737
1524256237.9907804,-17250.0000000,0.8041964,-15049.0000000,7.3383837,0.6891880,4.4911895,-1.2845656,-0.9466232,1.1800680,-0.7181651,-27.6343221,35.7684274,-24.5531375,-1.3993248,-0.5749314,-0.7181651
1524256237.9991138,-17250.0000000,0.8494710,-15096.5743841,7.3759725,0.6760720,4.4857902,-1.2914028,-1.1614785,1.4631250,-0.9225926,-23.6852848,31.9302997,-24.5148954,-1.7266933,-0.7129497,-0.9225926
1524256238.0074472,-17250.0000000,0.9142057,-15281.4946163,7.3000000,0.6604097,4.4793070,-1.2999422,-1.3413780,1.7122397,-1.1267467,-19.3956954,27.7768843,-24.4895241,-2.0087078,-0.8343575,-1.1267467
1524256238.0157807,-17250.0000000,0.9280000,-15412.9193300,7.3000000,0.6425935,4.4718843,-1.3101819,-1.4847401,1.9260731,-1.3307513,-15.0487159,23.6036027,-24.4751899,-2.2436124,-0.9383038,-1.3307513
1524256238.0241141,-17250.0000000,0.9280000,-15537.0179447,7.3000000,0.6230162,4.4636686,-1.3221214,-1.5921899,2.1056331,-1.5346665,-10.8775843,19.6641809,-24.4564942,-2.4327321,-1.0249750,-1.5346665
1524256238.0324476,-17250.0000000,0.9280000,-15574.4315483,7.3000000,0.6020480,4.4548014,-1.3357597,-1.6660332,2.2538094,-1.7383596,-7.0466326,16.1484123,-24.4033084,-2.5798262,-1.0953630,-1.7383596
1524256238.0407810,-17250.0000000,0.9280000,-15692.1800798,7.3000000,0.5800191,4.4454126,-1.3510940,-1.7096338,2.3747733,-1.9413883,-3.6462425,13.1723430,-24.2726232,-2.6902854,-1.1509823,-1.9413883
1524256238.0491145,-17250.0000000,0.9280000,-15832.4856677,7.3000000,0.5572099,4.4356183,-1.3681162,-1.7268039,2.4733485,-2.1429033,-0.7001024,10.7796115,-24.0123061,-2.7703181,-1.1935837,-2.1429033
1524256238.0574479,-17250.0000000,0.9280000,-15897.4115756,7.3000000,0.5338471,4.4255195,-1.3868091,-1.7213022,2.5544335,-2.3415934,1.8192679,8.9517819,-23.5680025,-2.8262337,-1.2249140,-2.3415934
1524256238.0657814,-17250.0000000,0.9280000,-15972.3376206,7.3000000,0.5101060,4.4152031,-1.4071428,-1.6964827,2.6225448,-2.5357033,3.9716895,7.6244950,-22.8920381,-2.8639018,-1.2465398,-2.5357033
1524256238.0741148,-17250.0000000,0.9280000,-15991.3100655,7.3000000,0.4861154,4.4047439,-1.4290708,-1.6551073,2.6815084,-2.7231274,5.8305859,6.7047856,-21.9517778,-2.8884093,-1.2597456,-2.7231274
1524256238.0824482,-17250.0000000,0.8717721,-15995.0000000,7.3614616,0.4619658,4.3942073,-1.4525282,-1.5993063,2.7342913,-2.9015663,7.4677096,6.0873425,-20.7367196,-2.9038971,-1.2655082,-2.9015663
1524256238.0907817,-17250.0000000,0.6431513,-16063.3483565,7.4887641,0.4377171,4.3836521,-1.4774303,-1.5306455,2.7829641,-3.0687394,8.9430409,5.6678302,-19.2636166,-2.9135459,-1.2645218,-3.0687394
1524256238.0991151,-17250.0000000,0.4573225,-16353.3418496,7.5148576,0.4134067,4.3731320,-1.5036739,-1.4502556,2.8287551,-3.2226266,10.2995026,5.3521059,-17.5771324,-2.9196568,-1.2572594,-3.2226266
1524256238.1074486,-17250.0000000,0.5200000,-16798.3668316,7.3000000,0.3890562,4.3626977,-1.5311407,-1.3589871,2.8721659,-3.3616916,11.5619281,5.0619968,-15.7457887,-2.9237852,-1.2440510,-3.3616916
1524256238.1157820,-17250.0000000,0.5200000,-16296.9217810,7.3000000,0.3646770,4.3523978,-1.5597021,-1.2575568,2.9131217,-3.4850564,12.7393604,4.7378922,-13.8543671,-2.9268938,-1.2251611,-3.4850564
1524256238.1241155,-17250.0000000,0.5200000,-16806.9159146,7.3000000,0.3402746,4.3422784,-1.5892250,-1.1466645,2.9511307,-3.5925977,13.8290247,4.3387347,-11.9935145,-2.9294993,-1.2008520,-3.5925977
1524256238.1324489,-17250.0000000,0.5200000,-16869.0000000,7.6326759,0.3158520,4.3323836,-1.6195787,-1.0270731,2.9854340,-3.6849483,14.8209999,3.8405189,-10.2484293,-2.9317992,-1.1714300,-3.6849483
1524256238.1407824,-17250.0000000,0.5200000,-16869.0000000,7.5737203,0.2914113,4.3227546,-1.6506408,-0.8996478,3.0151394,-3.7634049,15.7027650,3.2328581,-8.6891544,-2.9337779,-1.1372681,-3.7634049
1524256238.1491158,-17250.0000000,0.5200000,-16800.3533948,7.4430138,0.2669557,4.3134291,-1.6823021,-0.7653603,3.0393149,-3.8297675,16.4622867,2.5174778,-7.3627480,-2.9352744,-1.0988065,-3.8297675
1524256238.1574492,-17250.0000000,0.5200000,-16629.0000000,7.7242192,0.2424901,4.3044411,-1.7144702,-0.6252764,3.0570973,-3.8861174,17.0901303,1.7078063,-6.2892939,-2.9360718,-1.0565495,-3.8861174
1524256238.1657827,-17250.0000000,0.5200000,-16629.0000000,7.3243450,0.2180212,4.2958199,-1.7470707,-0.4805248,3.0677784,-3.9345891,17.5818689,0.8210823,-5.4631992,-2.9359734,-1.0110531,-3.9345891
1524256238.1741161,-17250.0000000,0.5200000,-16629.0000000,7.5310860,0.1935572,4.2875902,-1.7800467,-0.3322452,3.0707820,-3.9771707,17.9384630,-0.1266568,-4.8581239,-2.9347826,-0.9628813,-3.9771707
1524256238.1824496,-17250.0000000,0.5200000,-16665.1279420,7.4223216,0.1691081,4.2797719,-1.8133569,-0.1815504,3.0656674,-4.0155578,18.1646088,-1.1176186,-4.4340125,-2.9323171,-0.9125754,-4.0155578
1524256238.1907830,-17250.0000000,0.5200000,-16662.7830478,7.3446180,0.1446852,4.2723806,-1.8469727,-0.0295017,3.0521551,-4.0510709,18.2678162,-2.1335793,-4.1451356,-2.9284494,-0.8606420,-4.0510709
1524256238.1991165,-17250.0000000,0.5200000,-16533.2109381,7.3676388,0.1203006,4.2654279,-1.8808747,0.1229132,3.0301078,-4.0846434,18.2576150,-3.1587962,-3.9477220,-2.9231058,-0.8075355,-4.0846434
1524256238.2074499,-17250.0000000,0.5200000,-16357.2649288,7.3000000,0.0959668,4.2589217,-1.9150501,0.2747919,2.9995085,-4.1168662,18.1443428,-4.1804166,-3.8056467,-2.9162607,-0.7536479,-4.1168662
